algorithm,omp_schedule,chunk,replication,time
mandelbrot,dynamic,1,9,1.22695
stencil2d,dynamic,1,9,2.9704
mandelbrot,dynamic,1,10,1.22492
stencil2d,dynamic,1,10,2.91573
mandelbrot,dynamic,2,1,1.22492
stencil2d,dynamic,2,1,3.07913
mandelbrot,dynamic,2,2,1.22663
stencil2d,dynamic,2,2,3.13297
mandelbrot,dynamic,2,3,1.22651
stencil2d,dynamic,2,3,3.10751
mandelbrot,dynamic,2,4,1.22553
stencil2d,dynamic,2,4,3.06846
mandelbrot,dynamic,2,5,1.2462
stencil2d,dynamic,2,5,3.14962
mandelbrot,dynamic,2,6,1.22567
stencil2d,dynamic,2,6,3.12677
mandelbrot,dynamic,2,7,1.22702
stencil2d,dynamic,2,7,3.10553
mandelbrot,dynamic,2,8,1.2252
stencil2d,dynamic,2,8,3.09706
mandelbrot,dynamic,2,9,1.22577
stencil2d,dynamic,2,9,3.1331
mandelbrot,dynamic,2,10,1.22562
stencil2d,dynamic,2,10,3.13231
mandelbrot,dynamic,4,1,1.22664
stencil2d,dynamic,4,1,2.87073
mandelbrot,dynamic,4,2,1.28522
stencil2d,dynamic,4,2,2.83754
mandelbrot,dynamic,4,3,1.22438
stencil2d,dynamic,4,3,2.88546
mandelbrot,dynamic,4,4,1.22475
stencil2d,dynamic,4,4,2.84012
mandelbrot,dynamic,4,5,1.22603
stencil2d,dynamic,4,5,2.88936
mandelbrot,dynamic,4,6,1.22542
stencil2d,dynamic,4,6,2.88462
mandelbrot,dynamic,4,7,1.2269
stencil2d,dynamic,4,7,2.86543
mandelbrot,dynamic,4,8,1.2248
stencil2d,dynamic,4,8,2.86817
mandelbrot,dynamic,4,9,1.23166
stencil2d,dynamic,4,9,2.89253
mandelbrot,dynamic,4,10,1.28429
stencil2d,dynamic,4,10,2.86651
mandelbrot,dynamic,8,1,1.22436
stencil2d,dynamic,8,1,2.72757
mandelbrot,dynamic,8,2,1.22486
stencil2d,dynamic,8,2,2.67756
mandelbrot,dynamic,8,3,1.2253
