algorithm,omp_proc_bind,omp_places,replication,time
mandelbrot,MASTER,sockets,4,2.18449
stencil2d,MASTER,sockets,4,3.45862
mandelbrot,MASTER,sockets,5,2.18712
stencil2d,MASTER,sockets,5,3.53495
mandelbrot,MASTER,sockets,6,2.18773
stencil2d,MASTER,sockets,6,3.52943
mandelbrot,MASTER,sockets,7,2.17936
stencil2d,MASTER,sockets,7,3.44581
mandelbrot,MASTER,sockets,8,2.1821
stencil2d,MASTER,sockets,8,3.4495
mandelbrot,MASTER,sockets,9,2.17997
stencil2d,MASTER,sockets,9,3.45295
mandelbrot,MASTER,sockets,10,2.20062
stencil2d,MASTER,sockets,10,3.43225
mandelbrot,MASTER,cores,1,18.8279
stencil2d,MASTER,cores,1,18.8732
mandelbrot,MASTER,cores,2,18.836
stencil2d,MASTER,cores,2,18.8667
mandelbrot,MASTER,cores,3,18.7812
stencil2d,MASTER,cores,3,18.8414
mandelbrot,MASTER,cores,4,18.7692
stencil2d,MASTER,cores,4,18.8511
mandelbrot,MASTER,cores,5,18.8099
stencil2d,MASTER,cores,5,18.8846
mandelbrot,MASTER,cores,6,18.85
stencil2d,MASTER,cores,6,18.8752
mandelbrot,MASTER,cores,7,18.8029
stencil2d,MASTER,cores,7,18.8503
mandelbrot,MASTER,cores,8,18.822
stencil2d,MASTER,cores,8,18.8419
mandelbrot,MASTER,cores,9,18.786
stencil2d,MASTER,cores,9,18.856
mandelbrot,MASTER,cores,10,18.7959
stencil2d,MASTER,cores,10,18.8668
mandelbrot,MASTER,threads,1,20.933
stencil2d,MASTER,threads,1,22.5898
mandelbrot,MASTER,threads,2,20.9687
stencil2d,MASTER,threads,2,22.5621
mandelbrot,MASTER,threads,3,20.9454
stencil2d,MASTER,threads,3,22.5955
mandelbrot,MASTER,threads,4,20.9482
stencil2d,MASTER,threads,4,22.5527
mandelbrot,MASTER,threads,5,20.9362
stencil2d,MASTER,threads,5,22.5587
mandelbrot,MASTER,threads,6,20.9296
stencil2d,MASTER,threads,6,22.5548
mandelbrot,MASTER,threads,7,20.9583
stencil2d,MASTER,threads,7,22.5782
mandelbrot,MASTER,threads,8,20.9346
stencil2d,MASTER,threads,8,22.5701
